b1	b2	b3	b4	b5	b6	b7	r1	r2	r3	r4	r5	r6	r7	R01	R02	R03	R04	R05	R06	R07
0.422	0.703	0.396	0.229	0.378	0.386	0.136	0.043	0.183	0.053	0.061	0.036	0.03	0.03	3.293	5.601	3.094	1.79	2.948	3.005	1.061
0.422	0.703	0.396	0.229	0.378	0.386	0.136	0.043	0.183	0.053	0.061	0.036	0.03	0.03	3.293	5.601	3.094	1.79	2.948	3.005	1.061
0.433	0.696	0.397	0.227	0.381	0.384	0.136	0.043	0.182	0.054	0.062	0.036	0.029	0.03	3.377	5.538	3.107	1.779	2.967	2.993	1.059
0.433	0.696	0.397	0.227	0.381	0.384	0.136	0.043	0.182	0.054	0.062	0.036	0.029	0.03	3.377	5.538	3.107	1.779	2.967	2.993	1.059
0.43	0.693	0.397	0.228	0.382	0.385	0.136	0.043	0.183	0.054	0.062	0.037	0.03	0.03	3.355	5.52	3.101	1.784	2.982	3.003	1.058
0.439	0.695	0.388	0.23	0.385	0.385	0.136	0.043	0.183	0.055	0.063	0.037	0.03	0.03	3.425	5.535	3.031	1.8	2.999	2.999	1.062
0.439	0.695	0.388	0.23	0.385	0.385	0.136	0.043	0.183	0.055	0.063	0.037	0.03	0.03	3.425	5.535	3.031	1.8	2.999	2.999	1.062
0.431	0.698	0.387	0.231	0.39	0.387	0.136	0.044	0.183	0.056	0.063	0.037	0.029	0.029	3.363	5.563	3.027	1.812	3.04	3.016	1.058
0.436	0.693	0.385	0.23	0.391	0.386	0.136	0.043	0.183	0.057	0.064	0.036	0.03	0.03	3.407	5.523	3.011	1.8	3.048	3.005	1.058
0.439	0.696	0.383	0.227	0.395	0.385	0.135	0.043	0.183	0.057	0.065	0.037	0.029	0.03	3.423	5.547	2.994	1.775	3.082	2.996	1.054
0.426	0.689	0.394	0.227	0.397	0.385	0.136	0.043	0.181	0.059	0.065	0.036	0.029	0.03	3.329	5.484	3.085	1.778	3.093	3.002	1.058
0.428	0.692	0.394	0.226	0.394	0.386	0.137	0.043	0.181	0.059	0.064	0.037	0.029	0.03	3.343	5.512	3.08	1.773	3.069	3.01	1.064
0.434	0.689	0.394	0.224	0.393	0.382	0.136	0.043	0.181	0.059	0.064	0.037	0.03	0.03	3.391	5.489	3.082	1.754	3.063	2.977	1.058
0.434	0.691	0.391	0.222	0.393	0.382	0.133	0.043	0.181	0.058	0.065	0.037	0.03	0.031	3.39	5.505	3.057	1.741	3.062	2.98	1.038
0.426	0.695	0.388	0.229	0.39	0.382	0.134	0.043	0.18	0.057	0.065	0.037	0.03	0.031	3.322	5.534	3.036	1.793	3.045	2.973	1.046
0.424	0.696	0.384	0.234	0.389	0.383	0.135	0.043	0.18	0.057	0.065	0.038	0.03	0.031	3.308	5.542	3.007	1.83	3.031	2.983	1.05
