b1	b2	b3	b4	b5	b6	b7	r1	r2	r3	r4	r5	r6	r7	R01	R02	R03	R04	R05	R06	R07
0.362	0.707	0.402	0.226	0.367	0.384	0.14	0.097	0.204	0.059	0.062	0.039	0.032	0.032	2.927	5.981	3.197	1.805	2.9	3.019	1.1
0.364	0.705	0.4	0.227	0.368	0.385	0.14	0.097	0.203	0.06	0.063	0.04	0.032	0.032	2.941	5.959	3.185	1.809	2.903	3.027	1.103
0.372	0.697	0.401	0.231	0.363	0.385	0.139	0.099	0.204	0.06	0.061	0.039	0.032	0.033	3.01	5.898	3.194	1.838	2.868	3.032	1.091
0.375	0.696	0.401	0.232	0.362	0.384	0.138	0.1	0.204	0.06	0.061	0.039	0.032	0.033	3.036	5.888	3.195	1.848	2.857	3.019	1.088
0.376	0.7	0.401	0.237	0.354	0.385	0.139	0.1	0.204	0.059	0.059	0.038	0.032	0.032	3.049	5.922	3.188	1.882	2.794	3.031	1.095
0.37	0.697	0.406	0.241	0.355	0.387	0.14	0.1	0.203	0.059	0.058	0.038	0.031	0.031	2.995	5.894	3.232	1.916	2.803	3.045	1.098
0.366	0.696	0.408	0.242	0.358	0.382	0.139	0.1	0.205	0.058	0.058	0.038	0.031	0.032	2.962	5.888	3.246	1.929	2.822	3.002	1.093
0.365	0.701	0.409	0.242	0.36	0.384	0.14	0.099	0.205	0.057	0.058	0.037	0.03	0.031	2.955	5.933	3.256	1.922	2.842	3.016	1.1
0.367	0.704	0.404	0.243	0.362	0.384	0.14	0.101	0.204	0.057	0.058	0.036	0.03	0.031	2.977	5.954	3.211	1.937	2.855	3.016	1.099
0.367	0.704	0.404	0.243	0.362	0.384	0.14	0.101	0.204	0.057	0.058	0.036	0.03	0.031	2.977	5.954	3.211	1.937	2.855	3.016	1.099
0.367	0.704	0.404	0.243	0.362	0.384	0.14	0.101	0.204	0.057	0.058	0.036	0.03	0.031	2.977	5.954	3.211	1.937	2.855	3.016	1.099
0.367	0.704	0.404	0.243	0.362	0.384	0.14	0.101	0.204	0.057	0.058	0.036	0.03	0.031	2.977	5.954	3.211	1.937	2.855	3.016	1.099
0.36	0.702	0.406	0.242	0.364	0.383	0.14	0.1	0.204	0.059	0.058	0.037	0.031	0.031	2.915	5.935	3.232	1.924	2.869	3.014	1.1
0.361	0.704	0.408	0.238	0.365	0.384	0.14	0.101	0.204	0.059	0.058	0.037	0.03	0.031	2.924	5.953	3.244	1.893	2.876	3.016	1.101
0.356	0.706	0.407	0.239	0.367	0.386	0.14	0.1	0.204	0.059	0.059	0.036	0.03	0.031	2.882	5.968	3.236	1.905	2.894	3.033	1.097
0.359	0.708	0.406	0.236	0.369	0.387	0.139	0.101	0.204	0.059	0.058	0.037	0.03	0.03	2.909	5.989	3.231	1.881	2.912	3.04	1.094
0.359	0.708	0.406	0.236	0.369	0.387	0.139	0.101	0.204	0.059	0.058	0.037	0.03	0.03	2.909	5.989	3.231	1.881	2.912	3.04	1.094
0.353	0.709	0.407	0.239	0.37	0.384	0.139	0.101	0.204	0.057	0.06	0.036	0.03	0.031	2.865	5.998	3.236	1.901	2.918	3.015	1.09
0.351	0.707	0.409	0.242	0.375	0.382	0.137	0.101	0.203	0.057	0.06	0.035	0.029	0.03	2.843	5.975	3.255	1.929	2.952	3.005	1.079
0.348	0.709	0.406	0.243	0.374	0.383	0.138	0.1	0.203	0.059	0.06	0.035	0.029	0.03	2.816	5.997	3.23	1.936	2.946	3.012	1.083
0.35	0.713	0.401	0.244	0.374	0.38	0.138	0.1	0.203	0.058	0.06	0.035	0.029	0.031	2.834	6.029	3.191	1.946	2.944	2.987	1.087
0.349	0.711	0.399	0.244	0.375	0.379	0.138	0.101	0.203	0.059	0.06	0.036	0.03	0.031	2.829	6.011	3.172	1.946	2.956	2.982	1.089
0.349	0.709	0.404	0.241	0.377	0.385	0.137	0.1	0.203	0.059	0.059	0.036	0.029	0.03	2.83	5.99	3.215	1.917	2.968	3.022	1.08
